Bike_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price,N_Inquires,is_sold
XL3-1001066,23,1405641600000000000,1409443200000000000,86957,Red,Laos,31,70000,6,1.0
XL3-1013490,15,1405468800000000000,1408924800000000000,116380,Pearl,Laos,34,94000,13,0.0
XL3-1013490,3,1405728000000000000,1408924800000000000,116380,Pearl,Laos,34,67000,13,1.0
XL3-1007808,12,1405468800000000000,1407974400000000000,102823,Blue,Philippine,30,98000,11,0.0
XL3-1007808,3,1405728000000000000,1407974400000000000,102823,Blue,Philippine,30,71000,11,1.0
XL3-1036179,7,1405123200000000000,1407888000000000000,91134,Silver,Laos,29,95000,5,0.0
XL3-1036179,7,1405728000000000000,1407888000000000000,91134,Silver,Laos,29,78000,5,1.0
XL3-1015199,8,1404604800000000000,1409097600000000000,42840,Red,Laos,31,100000,4,0.0
XL3-1015199,13,1405728000000000000,1409097600000000000,42840,Red,Laos,31,73000,4,1.0
XL3-1000523,8,1404172800000000000,1410134400000000000,88234,Red,Laos,31,95000,10,0.0
XL3-1000523,20,1405900800000000000,1410134400000000000,88234,Red,Laos,31,58000,10,1.0
XL3-1013202,0,1405036800000000000,1409184000000000000,57822,Blue,Cambodia,30,105000,3,0.0
XL3-1013202,10,1405900800000000000,1409184000000000000,57822,Blue,Cambodia,30,88000,3,1.0
XL3-1020875,6,1405123200000000000,1408147200000000000,99197,Pearl,Laos,29,95000,6,0.0
XL3-1020875,9,1405900800000000000,1408147200000000000,99197,Pearl,Laos,29,78000,6,1.0
XL3-1019801,8,1405468800000000000,1407974400000000000,100276,Blue,Laos,30,95000,5,0.0
XL3-1019801,5,1405900800000000000,1407974400000000000,100276,Blue,Laos,30,78000,5,1.0
XL3-1073342,15,1405814400000000000,1409443200000000000,76821,Red,Laos,32,97000,4,0.0
XL3-1073342,1,1405900800000000000,1409443200000000000,76821,Red,Laos,32,70000,4,1.0
XL3-1113393,4,1404259200000000000,1409702400000000000,80588,Blue,Laos,39,96000,10,0.0
XL3-1113393,19,1405900800000000000,1409702400000000000,80588,Blue,Laos,39,69000,10,1.0
XL3-1071758,11,1405123200000000000,1409443200000000000,64724,Red,Laos,32,100000,5,0.0
XL3-1071758,9,1405900800000000000,1409443200000000000,64724,Red,Laos,32,70000,5,1.0
XL3-1035019,5,1405296000000000000,1408147200000000000,74371,White,Laos,30,95000,10,0.0
XL3-1035019,8,1405987200000000000,1408147200000000000,74371,White,Laos,30,78000,10,1.0
XL3-1136281,1,1404518400000000000,1409443200000000000,60937,Red,Laos,32,101000,8,0.0
XL3-1136281,17,1405987200000000000,1409443200000000000,60937,Red,Laos,32,74000,8,1.0
XL3-1175533,1,1404604800000000000,1409616000000000000,86820,Silver,Laos,31,96000,5,0.0
XL3-1175533,16,1405987200000000000,1409616000000000000,86820,Silver,Laos,31,79000,5,1.0
XL3-1013148,9,1405987200000000000,1409443200000000000,57770,Pearl,Laos,34,96000,4,1.0
XL3-1530886,13,1405987200000000000,1408147200000000000,73959,Gray,Laos,30,110000,4,0.0
XL3-1530886,0,1405987200000000000,1408147200000000000,73959,Gray,Laos,30,93000,4,1.0
XL3-1000270,18,1405382400000000000,1409961600000000000,98900,Red,Laos,30,90000,10,0.0
XL3-1000270,8,1406073600000000000,1409961600000000000,98900,Red,Laos,30,63000,10,1.0
XL3-1019386,6,1405382400000000000,1409443200000000000,86316,Silver,Laos,32,96000,5,0.0
XL3-1019386,8,1406073600000000000,1409443200000000000,86316,Silver,Laos,32,79000,5,1.0
XL3-1271813,4,1404864000000000000,1409443200000000000,54850,Pearl,Laos,29,106000,7,0.0
XL3-1271813,14,1406073600000000000,1409443200000000000,54850,Pearl,Laos,29,89000,7,1.0
XL3-1008542,16,1403913600000000000,1411430400000000000,109383,Black,Laos,44,95000,45,0.0
